Node1,Node2
0,1
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
0,27
0,28
0,29
0,30
0,31
0,32
0,33
0,34
0,35
0,36
0,38
0,39
0,40
0,41
0,42
0,43
0,44
0,45
0,46
0,47
0,48
0,49
0,50
0,51
0,52
0,53
0,54
0,55
0,56
0,57
0,58
0,59
0,60
0,61
0,62
0,63
0,64
0,65
0,66
0,67
0,68
0,69
0,70
0,71
0,72
0,73
0,74
0,75
0,76
0,77
0,78
0,79
0,80
0,81
0,82
0,84
0,85
0,86
0,87
0,88
0,89
0,90
0,91
0,92
0,93
0,94
0,95
0,96
0,97
0,98
0,99
0,100
0,101
0,102
0,103
0,104
0,105
0,106
0,107
0,108
0,109
0,110
0,111
0,112
0,113
0,114
0,115
0,116
0,118
0,119
0,120
0,121
0,122
0,123
0,124
0,126
0,127
0,128
0,129
0,130
0,131
0,132
0,133
0,134
0,135
0,136
0,138
0,140
0,141
0,143
0,144
0,145
0,146
0,147
0,148
0,149
0,150
0,151
0,152
0,153
0,154
0,155
0,156
0,157
0,158
0,159
0,160
0,161
0,162
0,163
0,164
0,165
0,166
0,2101
0,2374
3,47
4,714
5,714
7,223
8,164
14,2101
17,760
42,2101
45,2101
48,2101
50,2101
52,164
52,261
52,1309
52,1312
52,72
52,84
52,1313
52,112
52,1319
52,1030
52,956
54,854
55,1959
56,95
60,160
64,99
69,164
69,71
71,95
71,96
71,120
71,1951
71,164
76,346
76,1663
78,2101
79,760
79,1120
86,107
95,1732
95,1551
95,1547
95,106
96,164
96,1663
99,114
99,1814
104,760
111,1946
111,126
120,127
120,148
148,161
151,1959
160,2101
161,1770
164,244
164,245
164,247
164,248
164,249
164,250
164,216
164,253
164,254
164,255
164,256
164,257
164,258
164,259
164,260
164,261
164,262
164,212
169,1493
170,171
170,173
170,174
170,175
170,177
170,178
170,179
170,180
170,181
170,182
170,183
170,184
170,185
170,186
170,188
170,189
170,190
170,191
170,192
170,193
170,194
170,195
170,196
170,197
170,198
170,199
170,200
170,201
170,202
170,203
170,204
170,205
170,206
170,208
170,209
170,210
170,211
170,212
171,261
174,223
175,261
176,261
177,936
177,261
179,261
183,223
184,854
184,261
184,223
184,936
184,206
184,978
185,854
185,261
189,854
190,223
191,261
192,854
193,261
193,197
193,206
194,213
194,205
194,978
195,213
195,261
196,261
197,213
197,943
198,213
198,261
198,223
200,261
201,261
202,261
203,854
203,261
203,223
205,854
205,945
205,223
206,261
206,936
206,978
209,272
209,261
211,261
212,854
213,216
213,219
213,220
213,223
215,223
215,1835
219,261
220,272
220,854
220,261
220,223
223,854
223,260
223,261
223,958
223,983
223,226
223,740
223,984
223,227
223,947
223,860
223,262
223,978
223,427
223,985
223,986
223,987
223,376
225,261
226,261
232,346
244,261
244,451
244,1233
244,361
244,685
244,781
244,1237
246,261
249,936
249,261
250,377
250,261
255,261
256,818
256,261
259,261
260,854
260,934
260,261
261,854
261,958
261,932
261,937
261,933
261,951
261,959
261,961
261,962
261,389
261,963
261,855
261,964
261,965
261,966
261,967
261,968
261,856
261,969
261,934
261,970
261,971
261,972
261,938
261,973
261,974
261,975
261,976
261,977
261,744
261,947
261,936
261,860
261,861
261,262
261,978
261,979
261,980
261,862
261,981
261,943
262,978
267,272
268,377
268,818
269,818
269,840
272,273
272,279
272,280
272,281
272,282
272,284
272,285
272,286
272,287
272,288
272,291
272,292
272,295
272,296
272,297
272,299
272,301
272,306
272,307
272,1382
272,433
275,714
275,818
282,1493
284,377
284,1493
286,1130
294,377
298,377
299,714
326,854
345,551
345,881
345,1302
346,347
346,348
346,349
346,350
346,351
346,355
346,356
346,357
346,358
346,359
346,361
346,362
346,365
346,366
346,367
346,369
346,370
346,371
346,372
346,373
346,374
346,375
346,854
346,946
350,1218
350,1563
356,528
361,797
361,1120
369,760
370,519
370,1120
371,528
373,1194
374,1120
374,872
377,378
377,379
377,380
377,381
377,382
377,383
377,384
377,385
377,386
377,389
377,390
377,391
377,392
377,393
377,394
377,395
377,396
377,397
377,398
377,399
377,401
377,402
377,403
377,404
377,406
377,407
377,409
377,410
377,411
377,414
377,415
377,417
377,418
377,419
377,420
377,422
377,423
377,425
377,427
377,429
377,430
377,431
377,432
377,433
377,434
377,435
377,436
377,438
377,439
377,440
377,441
377,442
377,443
377,444
377,445
381,1493
389,854
395,714
395,854
397,854
398,714
400,714
402,599
402,626
408,714
411,714
415,854
418,714
420,599
425,714
425,1493
427,854
430,818
431,1493
432,1493
433,1544
435,714
435,1493
438,714
440,714
443,714
446,451
449,1312
457,760
457,776
467,840
470,818
474,818
474,1563
505,512
507,528
508,818
512,779
512,513
513,528
517,760
518,760
518,1194
519,1389
526,775
528,529
528,531
528,533
528,535
528,536
528,539
528,540
528,544
528,545
528,546
528,547
528,549
528,1802
533,1120
544,676
544,1120
544,1251
545,1120
546,1120
551,561
551,567
555,776
567,880
567,1131
572,818
582,599
583,599
587,599
593,599
599,601
599,603
599,604
599,605
599,606
599,609
599,612
599,613
599,1136
612,1493
613,1493
641,1240
659,660
659,664
659,1835
664,818
665,1835
673,760
676,682
676,688
686,1120
688,776
688,1130
690,692
690,698
690,700
690,703
690,705
690,1130
695,1199
700,1223
701,760
708,818
714,715
714,716
714,717
714,719
714,720
714,721
714,722
714,723
714,724
714,725
714,726
714,727
714,728
714,729
714,731
714,732
714,734
714,736
714,737
714,738
